Joke,Nonjoke ending
I let my accountant do my taxes because it saves time: last spring it saved me ten years.,days
A replacement player hit a home run with my girl.,ball
"I still miss my ex-wife, but I am improving my aim.",ego
It is not hard to meet expenses: they are everywhere.,affordable
"The last time a guy in a mask took all my money, I was in surgery.",shock
"My mechanic could not fix my brakes, so he fixed my horn.",clutch
A man who has lost ninety percent of his brain is called a widower.,zombie
The only ones who want me for my body are mosquitoes.,losers
"By the time Mary had her fourteenth child, she’d run out of names to call her husband.",offspring
A device for finding furniture in the dark is a shin.,candle
My doctor has never violated his oath: the oath he took years ago to become a millionaire.,practitioner
The only place where you can find people who spend all their time minding their own business is the cemetery.,bank
"It is hard to raise a family nowadays, especially in the morning.",country
"I asked the hostess if she remembered me from the party last year, and she said that she never forgets a dress.",name
"Everyone had so much fun jumping into the swimming pool, we decided to put in a little water.",platform
A thoughtful wife has pork chops ready when her husband comes home from hunting.,work
"Statistics indicate that Americans spend 80 million a year on games of chance, mostly weddings.",dice
She read so much about the bad effects of smoking she decided she’d have to give up reading.,habit
